Em3d|-n 8 -d 8 -i 600|283144|80|50|0.3524815|2.8125|32.2097662|7449|509422||
Em3d|-n 8 -d 8 -i 600|283145|81|50|0.3524815|2.8125|32.2107798|7449|509423||
Em3d|-n 8 -d 8 -i 600|283146|82|50|0.3524815|2.8125|32.2114684|7449|509424||
Em3d|-n 8 -d 8 -i 600|283147|83|50|0.3524815|2.8125|32.2131314|7449|509425||
Em3d|-n 8 -d 8 -i 600|283148|84|50|0.3524815|2.8125|32.2137932|7449|509426||
Em3d|-n 8 -d 8 -i 600|283159|80|52|1.5916469|2.5|24.9661321|7449|509437||
Em3d|-n 8 -d 8 -i 600|283160|81|52|1.5916469|2.5|24.9752888|7449|509438||
Em3d|-n 8 -d 8 -i 600|283161|82|52|1.5916469|2.5|24.9759756|7449|509439||
Em3d|-n 8 -d 8 -i 600|283162|83|52|1.5916469|2.5|24.976524|7449|509440||
Em3d|-n 8 -d 8 -i 600|283163|84|52|1.5916469|2.5|24.9778213|7449|509441||
Em3d|-n 8 -d 8 -i 600|283159|80|52|1.577178|2.703125|26.1601637|7449|509437||
Em3d|-n 8 -d 8 -i 600|283160|81|52|1.577178|2.703125|26.1685984|7449|509438||
Em3d|-n 8 -d 8 -i 600|283161|82|52|1.577178|2.703125|26.1692806|7449|509439||
Em3d|-n 8 -d 8 -i 600|283162|83|52|1.577178|2.703125|26.1698366|7449|509440||
Em3d|-n 8 -d 8 -i 600|283163|84|52|1.577178|2.703125|26.1703878|7449|509441||
